Date,Price,Open,High,Low,Volume,Change
"Apr 25, 2021",49561.9,50088.2,50438.8,49226.5,66.26K,-1.05%
"Apr 24, 2021",50088.9,51140.8,51183,48775.2,82.25K,-2.06%
"Apr 23, 2021",51143.6,51707.1,52099.9,47659.4,214.46K,-1.13%
"Apr 22, 2021",51729.5,53821.3,55408.4,50590.9,168.13K,-3.88%
"Apr 21, 2021",53820.2,56479.5,56764.4,53657.6,100.26K,-4.71%
"Apr 20, 2021",56483.2,55645.1,57054.9,53422.5,115.49K,1.50%
"Apr 19, 2021",55646.1,56208.1,57517,54272.3,117.51K,-1.00%
"Apr 18, 2021",56207.1,60043.2,60362.1,51817.6,216.81K,-6.39%
"Apr 17, 2021",60041.9,61358.3,62509.1,59672.1,84.08K,-2.18%
"Apr 16, 2021",61379.7,63211.6,63518.5,60027.3,136.85K,-2.90%
"Apr 15, 2021",63216,62978.6,63729.1,62067.5,76.97K,0.37%
"Apr 14, 2021",62980.4,63544.2,64778,61366.3,130.43K,-0.88%
"Apr 13, 2021",63540.9,59863.6,63659,59839.4,126.56K,6.14%
"Apr 12, 2021",59863.8,59982.1,61259.9,59569.2,81.88K,-0.19%
"Apr 11, 2021",59978.7,59772.4,60667.1,59250.3,58.20K,0.39%
"Apr 10, 2021",59748.4,58127.4,61229,57900,103.72K,2.80%
"Apr 09, 2021",58118.7,58076.8,58890.9,57686,59.22K,0.07%
"Apr 08, 2021",58077.4,55948,58136.7,55721.6,64.78K,3.80%
"Apr 07, 2021",55948.7,57996.3,58627.7,55489.3,110.69K,-3.53%
"Apr 06, 2021",57996.3,59169,59487,57403.3,77.15K,-1.69%
"Apr 05, 2021",58993.4,58202.3,59205.1,56842.7,54.13K,1.36%
"Apr 04, 2021",58199.9,57059.7,58464.8,56470.6,57.21K,2.00%
"Apr 03, 2021",57059.9,58976.8,59770.5,56906.7,68.74K,-3.25%
"Apr 02, 2021",58977.3,58718.2,60134.9,58466.5,72.37K,0.44%
"Apr 01, 2021",58718.3,58763.2,59406.5,58040.7,69.04K,-0.08%
"Mar 31, 2021",58763.7,58771.4,59795.6,56991.6,98.06K,-0.01%
"Mar 30, 2021",58771.3,57614.6,59366.9,57077.1,86.21K,2.00%
"Mar 29, 2021",57616.2,55764.7,58392.6,54951.1,107.91K,3.32%
"Mar 28, 2021",55765.2,55856.9,56504.2,54711.3,58.71K,-0.17%
"Mar 27, 2021",55862.9,55033.8,56531.1,54010.2,73.87K,1.50%
"Mar 26, 2021",55036.1,51317.4,55074.1,51302,100.30K,7.24%
"Mar 25, 2021",51322.3,52330,53175.4,50441.3,143.35K,-1.92%
"Mar 24, 2021",52325.4,54309.1,57169.4,51725.4,137.91K,-3.91%
"Mar 23, 2021",54452.5,54117.5,55813.8,52992.3,84.84K,0.54%
"Mar 22, 2021",54158.3,57379.3,58379.9,53784.2,95.53K,-5.62%
"Mar 21, 2021",57383.8,58097.4,58583.8,55583.3,77.47K,-1.22%
"Mar 20, 2021",58093.4,58084.1,59882.1,57863,67.83K,0.01%
"Mar 19, 2021",58088,57645,59448.3,56305.1,83.98K,0.75%
"Mar 18, 2021",57656,58911.8,60088,57099.6,102.62K,-2.13%
"Mar 17, 2021",58913.5,56892.9,58933.2,54253.2,118.26K,3.56%
"Mar 16, 2021",56889.7,55619.5,56889.7,53342.6,128.51K,1.97%
"Mar 15, 2021",55791.3,59117.4,60565.9,55088.8,117.71K,-5.62%
"Mar 14, 2021",59113.7,61192.7,61673.7,59113.7,80.29K,-3.40%
"Mar 13, 2021",61195.3,57267.4,61795.8,56118.8,134.64K,6.86%
"Mar 12, 2021",57265.1,57806.2,58052.3,55134.5,116.96K,-0.92%
"Mar 11, 2021",57799.5,55851.2,58135,54351.8,129.63K,3.49%
"Mar 10, 2021",55851.9,54882.7,57328.7,53073.6,140.96K,1.77%
"Mar 09, 2021",54879,52352.4,54880.6,51941.3,114.06K,4.91%
"Mar 08, 2021",52311,50988.9,52384.9,49338.1,68.14K,2.61%
"Mar 07, 2021",50982.3,48899,51434.1,48890.6,82.91K,4.35%
"Mar 06, 2021",48855.6,48798.7,49191.8,47132.8,66.66K,0.13%
"Mar 05, 2021",48792.5,48363.6,49429.4,46370.1,113.64K,0.75%
"Mar 04, 2021",48428,50388,51757.7,47521.8,9.56K,-3.90%
"Mar 03, 2021",50395.1,48422.2,52567.9,48159.2,44.93K,4.07%
"Mar 02, 2021",48424.2,49595.6,50191.9,47100.6,102.10K,-2.36%
"Mar 01, 2021",49595.5,45160.5,49774,45008.8,137.52K,9.81%
"Feb 28, 2021",45164,46136,46582,43100.6,135.08K,-2.11%
"Feb 27, 2021",46136.7,46333.1,48335.1,45059.4,98.75K,-0.45%
"Feb 26, 2021",46345.6,46928.5,48413.9,44248.2,189.41K,-1.24%
"Feb 25, 2021",46928.5,49695.9,52013.8,46773.7,83.22K,-5.57%
"Feb 24, 2021",49697.5,48911.1,51311.8,47031.7,153.75K,1.61%
